#Date/Time of Update: 2018-05-09 10:16:09 AM,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#High School,#College,#Twitter,#Roster Status,#Draft,#Contract,#Shoots,#Team ID,#Team Abbr.,#Team City,#Team Name,#Official Image URL
,13776,Allen,Kadeem,45,SG,"6'3""",200,1993-01-13,25,"Wilmington, NC",USA,N,New Hanover,University of Arizona,,ASSIGNED_ROSTER,2017 by BOS with pick 23 in round 2 (53 overall),0 salary starting in 2017 on a 1 year contract,null,82,BOS,Boston,Celtics,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628443.png
,9254,Allen,Lavoy,5,PF,"6'9""",260,1989-02-04,29,"Morrisville, PA",USA,N,Pennsbury,Temple University,,UFA,2011 by PHI with pick 20 in round 2 (50 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202730.png
,9452,Aminu,Al-Farouq,8,PF,"6'9""",220,1990-09-21,27,"Atlanta, GA",USA,N,Norcross,Wake Forest University,farouq1,ASSIGNED_ROSTER,2010 by LAC with pick 8 in round 1 (8 overall),7319035 salary starting in 2017 on a 4 year contract,R,97,POR,Portland,Trail Blazers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png
,9379,Amundson,Lou,17,PF,"6'9""",220,1982-12-07,35,"Ventura, CA",USA,N,Monarch,"University of Nevada, Las Vegas",LouAmundson17,UFA,,,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200811.png
,9297,Andersen,Chris,7,C,,,1978-07-07,39,"Long Beach, CA",USA,N,Iola,Blinn College,,UFA,,,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2365.png
,9178,Anderson,Justin,1,SF,"6'6""",230,1993-11-19,24,"Montross, VA",USA,N,Montrose Christian,University of Virginia,JusAnderson1,ASSIGNED_ROSTER,2015 by DAL with pick 21 in round 1 (21 overall),1579440 salary starting in 2017 on a 4 year contract,L,85,PHI,Philadelphia,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626147.png
,9353,Anderson,Ryan,33,PF,"6'10""",240,1988-05-06,30,"Sacramento, CA",USA,N,Oak Ridge,University of California,,ASSIGNED_ROSTER,,19578454 salary starting in 2017 on a 4 year contract,R,109,HOU,Houston,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201583.png
,9475,Anderson,Kyle,1,SF,"6'9""",230,1993-09-20,24,"New York, NY",USA,N,St. Anthony's,"University of California, Los Angeles",KyleAnderson5,ASSIGNED_ROSTER,2014 by SAS with pick 30 in round 1 (30 overall),2151704 salary starting in 2017 on a 3 year contract,R,106,SAS,San Antonio,Spurs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png
,9527,Anderson,Alan,26,SG,"6'6""",220,1982-10-16,35,"Minneapolis, MN",USA,N,DeLaSalle,Michigan State University,ASqared06,UFA,,,R,102,LAC,Los Angeles,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101187.png
,9469,Anderson,James,5,SG,"6'6""",213,1989-03-25,29,"El Dorado, AR",USA,N,Junction City,Oklahoma State University,,UFA,2010 by SAS with pick 20 in round 1 (20 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202341.png
,13796,Anigbogu,Ike,13,C,"6'10""",262,1998-10-16,19,"San Diego, CA",USA,N,Centennial,"University of California, Los Angeles",IkePostrs_,ASSIGNED_ROSTER,2017 by IND with pick 17 in round 2 (47 overall),950000 salary starting in 2017 on a 3 year contract,R,87,IND,Indiana,Pacers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628387.png
,9325,Antetokounmpo,Giannis,34,SF,"6'11""",222,1994-12-06,23,Athens,Greece,N,,,Giannis_An34,ASSIGNED_ROSTER,,22471910 salary starting in 2017 on a 4 year contract,R,90,MIL,Milwaukee,Bucks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
,9560,Antetokounmpo,Thanasis,43,SF,,,1992-07-18,25,Athens,Greece,N,,,,UFA,2014 by NYK with pick 21 in round 2 (51 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png
,9369,Anthony,Carmelo,7,PF,"6'8""",240,1984-05-29,33,"New York, NY",USA,N,Oak Hill Academy,Syracuse University,carmeloanthony,ASSIGNED_ROSTER,2003 by DEN with pick 3 in round 1 (3 overall),0 salary starting in 2017 on a 5 year contract,R,96,OKL,Oklahoma City,Thunder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png
,9214,Anthony,Joel,50,C,"6'9""",245,1982-08-09,35,Montreal,Canada,N,Dawson College,"University of Nevada, Las Vegas",,UFA,,,L,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201202.png
,13750,Anunoby,OG,3,SF,"6'8""",235,1997-07-17,20,London,United Kingdom,N,Jefferson City,Indiana University,OAnunoby,ASSIGNED_ROSTER,2017 by TOR with pick 23 in round 1 (23 overall),1645200 salary starting in 2017 on a 2 year contract,R,81,TOR,Toronto,Raptors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
,9559,Appling,Keith,,PG,,,1992-02-13,26,"Detroit, MI",USA,N,Pershing,Michigan State University,,UFA,,,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203951.png
,11884,Arcidiacono,Ryan,10,G,"6'3""",195,1994-03-26,24,"Langhorne, PA",USA,Y,Neshaminy,Villanova University,,ASSIGNED_MINORS,,13824 salary starting in 2017 on a 0 year contract,R,89,CHI,Chicago,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png
,9235,Ariza,Trevor,1,SF,"6'8""",215,1985-06-30,32,"Miami, FL",USA,N,Westchester,"University of California, Los Angeles",TrevorAriza,ASSIGNED_ROSTER,2004 by NYK with pick 14 in round 2 (43 overall),7420912 salary starting in 2017 on a 4 year contract,R,109,HOU,Houston,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png
,9198,Arthur,Darrell,0,PF,"6'9""",235,1988-03-25,30,"Dallas, TX",USA,N,South Oak Cliff,University of Kansas,,ASSIGNED_ROSTER,,7464912 salary starting in 2017 on a 3 year contract,R,99,DEN,Denver,Nuggets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201589.png
,13805,Artis,Jamiel,,SG,"6'7""",213,1993-01-12,25,"Baltimore, MD",USA,Y,Notre Dame Prep,University of Pittsburgh,melartis1,ASSIGNED_MINORS,,0 salary starting in 2017 on a 0 year contract,R,95,ORL,Orlando,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628503.png
,9358,Asik,Omer,3,C,"7'0""",255,1986-07-03,31,Bursa,Turkey,N,,,AsikOmer,ASSIGNED_ROSTER,2008 by POR with pick 6 in round 2 (36 overall),10595505 salary starting in 2017 on a 5 year contract,R,89,CHI,Chicago,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201600.png
,13941,Atkinson,Kenny,,C,,,2018-01-25,0,,,N,,,,ASSIGNED_ROSTER,,,null,84,BRO,Brooklyn,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201690.png
,9190,Augustin,D.J.,14,PG,"6'0""",183,1987-11-10,30,"New Orleans, LA",USA,N,Hightower,University of Texas at Austin,,ASSIGNED_ROSTER,,7250000 salary starting in 2017 on a 4 year contract,R,95,ORL,Orlando,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png
,9276,Ayres,Jeff,19,C,"6'9""",250,1987-04-29,31,,,N,,,,UFA,,,null,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201965.png
,9360,Babbitt,Luke,8,PF,"6'9""",225,1989-06-19,28,"Cincinnati, OH",USA,N,Galena,"University of Nevada, Reno",,ASSIGNED_ROSTER,2010 by MIN with pick 16 in round 1 (16 overall),1974159 salary starting in 2017 on a 1 year contract,L,92,MIA,Miami,Heat,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202337.png
,13788,Bacon,Dwayne,7,SF,"6'7""",221,1995-08-30,22,"Lakeland, FL",USA,Y,Oak Hill Academy,Florida State University,BaconDwayne1000,ASSIGNED_ROSTER,2017 by NOP with pick 10 in round 2 (40 overall),815615 salary starting in 2017 on a 3 year contract,R,93,CHA,Charlotte,Hornets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png
,9150,Bairstow,Cameron,41,C,"6'9""",250,1990-12-07,27,Brisbane,Australia,N,Australian Institute of Sport,University of New Mexico,,UFA,2014 by CHI with pick 19 in round 2 (49 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203946.png
,10102,Baker,Ron,31,PG,"6'4""",220,1993-03-30,25,"Hays, KS",USA,N,Scott City,Wichita State University,RonBaker31,ASSIGNED_ROSTER,,4328000 salary starting in 2017 on a 2 year contract,R,83,NYK,New York,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627758.png
,10131,Baldwin IV,Wade,4,G,"6'4""",202,1996-03-26,22,"Belle Mead, NJ",USA,N,St. Joseph,Vanderbilt University,The_Fourth_Wade,ASSIGNED_ROSTER,2016 by MEM with pick 17 in round 1 (17 overall),229892 salary starting in 2017 on a 1 year contract,R,97,POR,Portland,Trail Blazers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627735.png
,13728,Ball,Lonzo,2,PG,"6'6""",190,1997-10-27,20,"Anaheim, CA",USA,Y,Chino Hills,"University of California, Los Angeles",ZO2_,ASSIGNED_ROSTER,2017 by LAL with pick 2 in round 1 (2 overall),6286560 salary starting in 2017 on a 2 year contract,R,105,LAL,Los Angeles,Lakers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
,9229,Barbosa,Leandro,19,SG,"6'3""",194,1982-11-28,35,San Paulo,Brazil,N,,,TheBlurBarbosa,UFA,2003 by SAS with pick 28 in round 1 (28 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2571.png
,9180,Barea,J.J.,5,SG,"6'0""",185,1984-06-26,33,Mayaguez,Puerto Rico,N,Miami Christian School,Northeastern University,jjbareapr,ASSIGNED_ROSTER,,3903900 salary starting in 2017 on a 4 year contract,R,108,DAL,Dallas,Mavericks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200826.png
,9537,Bargnani,Andrea,,C,,,1985-10-26,32,Rome,Italy,N,,,AndreaBargnani,UFA,2006 by TOR with pick 1 in round 1 (1 overall),,R,,,,
,9220,Barnes,Harrison,40,SF,"6'8""",225,1992-05-30,25,"Ames, IA",USA,N,Ames,University of North Carolina,HBarnes,ASSIGNED_ROSTER,2012 by GSW with pick 7 in round 1 (7 overall),23112004 salary starting in 2017 on a 4 year contract,R,108,DAL,Dallas,Mavericks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png
,9197,Barton,Will,5,SG,"6'6""",190,1991-01-06,27,"Baltimore, MD",USA,N,Brewster Academy,University of Memphis,WillTheThrillB5,ASSIGNED_ROSTER,2012 by POR with pick 10 in round 2 (40 overall),3533333 salary starting in 2017 on a 3 year contract,R,99,DEN,Denver,Nuggets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png
,9288,Bass,Brandon,2,PF,"6'8""",250,1985-04-30,33,"Baton Rouge, LA",USA,N,Capitol,Louisiana State University,,UFA,,,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101138.png
,9133,Batum,Nicolas,5,SG,"6'8""",200,1988-12-14,29,Lisieux,France,N,,,nicolas88batum,ASSIGNED_ROSTER,2008 by HOU with pick 25 in round 1 (25 overall),22434783 salary starting in 2017 on a 5 year contract,R,93,CHA,Charlotte,Hornets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
,9323,Bayless,Jerryd,0,PG,"6'3""",200,1988-08-20,29,"Phoenix, AZ",USA,N,Saint Mary's,University of Arizona,jerrydbayless,ASSIGNED_ROSTER,2008 by IND with pick 11 in round 1 (11 overall),,R,85,PHI,Philadelphia,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201573.png
,9211,Baynes,Aron,46,C,"6'10""",260,1986-12-09,31,Gisborne,New Zealand,N,,Washington State University,,ASSIGNED_ROSTER,,4328000 salary starting in 2017 on a 1 year contract,R,82,BOS,Boston,Celtics,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203382.png
,9086,Bazemore,Kent,24,SG,"6'5""",201,1989-07-01,28,"Kelford, NC",USA,N,Bertie,Old Dominion University,24Bazemore,ASSIGNED_ROSTER,,16910113 salary starting in 2017 on a 4 year contract,L,91,ATL,Atlanta,Hawks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203145.png
,9523,Beal,Bradley,3,SG,"6'5""",207,1993-06-28,24,"St. Louis, MO",USA,N,Chaminade College Preparatory School,University of Florida,RealDealBeal23,ASSIGNED_ROSTER,2012 by WAS with pick 3 in round 1 (3 overall),23775506 salary starting in 2017 on a 5 year contract,R,94,WAS,Washington,Wizards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png
,9245,Beasley,Michael,8,PF,"6'9""",235,1989-01-09,29,"Frederick, MD",USA,N,Notre Dame Preparatory School,Kansas State University,easyst0,ASSIGNED_ROSTER,2008 by MIA with pick 2 in round 1 (2 overall),2116955 salary starting in 2017 on a 1 year contract,L,83,NYK,New York,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201563.png
,10133,Beasley,Malik,25,SG,"6'5""",196,1996-11-26,21,"Atlanta, GA",USA,N,Saint Francis,Florida State University,Mbeasy5,ASSIGNED_ROSTER,2016 by DEN with pick 19 in round 1 (19 overall),1700640 salary starting in 2017 on a 4 year contract,R,99,DEN,Denver,Nuggets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png
,9470,Belinelli,Marco,3,SG,"6'5""",210,1986-03-24,32,Bologna,Italy,N,,,marcobelinelli,ASSIGNED_ROSTER,2007 by GSW with pick 18 in round 1 (18 overall),,R,85,PHI,Philadelphia,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201158.png
,13764,Bell,Jordan,2,PF,"6'9""",224,1995-01-07,23,"Los Angeles, CA",USA,N,Long Beach Poly,University of Oregon,1jordanbell,ASSIGNED_ROSTER,2017 by CHI with pick 8 in round 2 (38 overall),815615 salary starting in 2017 on a 2 year contract,R,101,GSW,Golden State,Warriors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628395.png
,10156,Bembry,DeAndre',95,SF,"6'6""",210,1994-07-04,23,"Charlotte, NC",USA,N,The Patrick School,Saint Joseph's University,,ASSIGNED_ROSTER,2016 by ATL with pick 21 in round 1 (21 overall),1567200 salary starting in 2017 on a 3 year contract,R,91,ATL,Atlanta,Hawks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png
,10143,Bender,Dragan,35,PF,"7'1""",225,1997-11-17,20,Capljina,Bosnia and Herzegovina,N,,,DBender03,ASSIGNED_ROSTER,2016 by PHX with pick 4 in round 1 (4 overall),4468800 salary starting in 2017 on a 3 year contract,R,104,PHX,Phoenix,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627733.png
,9544,Bennett,Anthony,13,PF,,,1993-03-14,25,Toronto,Canada,N,Findlay College Prep,"University of Nevada, Las Vegas",AnthonyBennett,ASSIGNED_MINORS,2013 by CLE with pick 1 in round 1 (1 overall),,R,84,BRO,Brooklyn,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203461.png
,11964,Bentil,Ben,,PF,,,1995-03-29,23,,Ghana,N,St. Andrew's School,Providence College,,UFA,2016 by BOS with pick 21 in round 2 (51 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627791.png
,10109,Bertans,Davis,42,PF,"6'10""",210,1992-11-12,25,Valmiera,Latvia,N,,,DBertans_42,ASSIGNED_ROSTER,2011 by IND with pick 12 in round 2 (42 overall),1312611 salary starting in 2017 on a 2 year contract,R,106,SAS,San Antonio,Spurs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png
,9239,Beverley,Patrick,21,PG,"6'1""",185,1988-07-12,29,"Chicago, IL",USA,N,Marshall,University of Arkansas,patbev21,ASSIGNED_ROSTER,,,R,102,LAC,Los Angeles,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
,13929,Bickerstaff,John-Blair,,C,,,2018-01-27,0,,,N,,,,ASSIGNED_ROSTER,,,null,107,MEM,Memphis,Grizzlies,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2794.png
,13804,Birch,Khem,24,PF,"6'9""",220,1992-09-28,25,Montreal,Canada,Y,Notre Dame Prep,"University of Nevada, Las Vegas",,ASSIGNED_ROSTER,,815615 salary starting in 2017 on a 2 year contract,R,95,ORL,Orlando,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
,13771,Bird,Jabari,26,SG,"6'6""",198,1994-07-01,23,"Walnut Creek, CA",USA,N,Salesian Prep,University of California,,ASSIGNED_ROSTER,2017 by BOS with pick 26 in round 2 (56 overall),0 salary starting in 2017 on a 1 year contract,null,82,BOS,Boston,Celtics,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628444.png
,9497,Biyombo,Bismack,11,C,"6'9""",255,1992-08-28,25,Lubumbashi,Democratic Republic of the Congo,N,,,,ASSIGNED_ROSTER,2011 by SAC with pick 7 in round 1 (7 overall),17000000 salary starting in 2017 on a 4 year contract,R,95,ORL,Orlando,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png
,9348,Bjelica,Nemanja,8,SF,"6'10""",230,1988-05-09,30,Belgrade,Serbia,N,,,,ASSIGNED_ROSTER,2010 by WAS with pick 5 in round 2 (35 overall),3949999 salary starting in 2017 on a 3 year contract,R,100,MIN,Minnesota,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202357.png
,9284,Black,Tarik,28,PF,"6'9""",250,1991-11-22,26,"Memphis, TN",USA,N,Ridgeway,University of Kansas,,ASSIGNED_ROSTER,,3290000 salary starting in 2017 on a 1 year contract,R,109,HOU,Houston,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204028.png
,9547,Blair,DeJuan,,C,,,1989-04-22,29,"Pittsburgh, PA",USA,N,Schenley,University of Pittsburgh,DeJuan45,UFA,2009 by SAS with pick 7 in round 2 (37 overall),,R,,,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201971.png
,13864,Blakeney,Antonio,9,PG,"6'4""",197,1996-10-04,21,"Watertown, NY",USA,Y,Oak Ridge,Louisiana State University,blakeney96,ASSIGNED_MINORS,,0 salary starting in 2017 on a 0 year contract,R,89,CHI,Chicago,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628469.png
,9428,Bledsoe,Eric,6,PG,"6'1""",205,1989-12-09,28,"Birmingham, AL",USA,N,A.H. Parker,University of Kentucky,EBled2,ASSIGNED_ROSTER,2010 by OKL with pick 18 in round 1 (18 overall),14500000 salary starting in 2017 on a 5 year contract,R,90,MIL,Milwaukee,Bucks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png
,13867,Blue,Vander,,SG,,,1992-07-17,25,"Milwaukee, WI",USA,N,Madison Memorial,Marquette University,veezy_SQ,UFA,,,R,105,LAL,Los Angeles,Lakers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203505.png
,13726,Bogdanovic,Bogdan,8,SG,"6'6""",205,1992-08-18,25,Belgrade,Serbia,Y,,,LeaderOfHorde,ASSIGNED_ROSTER,2014 by PHX with pick 27 in round 1 (27 overall),9470614 salary starting in 2017 on a 3 year contract,R,103,SAC,Sacramento,Kings,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
,9114,Bogdanovic,Bojan,44,SF,"6'8""",230,1989-04-18,29,Mostar,Bosnia and Herzegovina,N,,,,ASSIGNED_ROSTER,2011 by MIA with pick 1 in round 2 (31 overall),10500000 salary starting in 2017 on a 2 year contract,R,87,IND,Indiana,Pacers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png
,9217,Bogut,Andrew,12,C,,,1984-11-28,33,Melbourne,Australia,N,Australian Institute of Sport,University of Utah,andrewbogut,UFA,,,R,105,LAL,Los Angeles,Lakers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101106.png
,10106,Bolomboy,Joel,21,PF,,,1994-01-28,24,Kiev,Ukraine,N,Keller Central,Weber State University,,ASSIGNED_MINORS,2016 by UTA with pick 22 in round 2 (52 overall),,R,90,MIL,Milwaukee,Bucks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627762.png
,9434,Booker,Devin,1,SG,"6'6""",210,1996-10-30,21,"Grand Rapids, MI",USA,N,Moss Point,University of Kentucky,DevinBook,ASSIGNED_ROSTER,2015 by PHX with pick 13 in round 1 (13 overall),2319360 salary starting in 2017 on a 4 year contract,R,104,PHX,Phoenix,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
,9508,Booker,Trevor,35,PF,"6'8""",228,1987-11-24,30,"Newberry, SC",USA,N,Union County,Clemson University,35_Fitz,ASSIGNED_ROSTER,2010 by MIN with pick 23 in round 1 (23 overall),446138 salary starting in 2017 on a 1 year contract,L,87,IND,Indiana,Pacers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202344.png
,9308,Bosh,Chris,1,PF,,,1984-03-24,34,"Dallas, TX",USA,N,Lincoln,Georgia Institute of Technology,chrisbosh,UFA,2003 by TOR with pick 4 in round 1 (4 overall),,L,,,,
,13766,Boucher,Chris,25,PF,"6'10""",200,1993-01-09,25,Castries,Saint Lucia,N,Damase Boulanger,University of Oregon,chrisboucher,ASSIGNED_ROSTER,,0 salary starting in 2017 on a 0 year contract,null,101,GSW,Golden State,Warriors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
,9097,Bradley,Avery,22,SG,"6'2""",180,1990-11-25,27,"Tacoma, WA",USA,N,Findlay College Prep,University of Texas at Austin,,ASSIGNED_ROSTER,2010 by BOS with pick 19 in round 1 (19 overall),8808989 salary starting in 2017 on a 4 year contract,R,102,LAC,Los Angeles,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png
